price,latitude,longitude,bedrooms,bathrooms,livingArea,lotSize,hasPrivatePool,garageParkingCapacity,yearBuilt,is_FSBA,is_FSBO,is_foreclosure,is_newHome,level_One,level_Split,level_Three Or More,level_Two,level_Unknown,homeType_CONDO,homeType_LOT,homeType_MANUFACTURED,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY,homeType_TOWNHOUSE,homeType_Unknown
849000,45.867607,-110.8478,,,,1483479.0,,,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
4250000,45.60688,-110.98604,3.0,5.0,4816.0,871200.0,,3.0,1997.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
183900,45.743668,-111.18064,2.0,2.0,910.0,,,0.0,2024.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
1489000,45.696877,-111.09686,4.0,4.0,2808.0,12353.0,,2.0,2025.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1599000,45.68212,-111.03609,3.0,4.0,2306.0,3223.0,,2.0,2019.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1800000,45.694664,-111.095436,4.0,4.0,2842.0,7405.0,,2.0,2026.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1245000,45.674095,-111.16548,5.0,3.0,2481.0,12196.0,,3.0,2013.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
525000,45.67143,-111.03094,1.0,1.0,880.0,,,0.0,2020.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
775000,45.672203,-111.05619,5.0,3.0,2346.0,7871.0,,1.0,1955.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
665000,45.68029,-111.08878,3.0,2.0,1684.0,10890.0,,2.0,2002.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
609900,45.691833,-111.11834,3.0,3.0,2015.0,,,2.0,2005.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
690000,45.683334,-111.192505,3.0,2.0,1630.0,7535.0,,2.0,2007.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3250000,45.692245,-111.1602,5.0,5.0,3643.0,29185.0,,3.0,2025.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
639500,45.683334,-111.192505,3.0,2.0,1630.0,7535.0,,3.0,2014.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1880000,45.568344,-111.12086,3.0,2.0,1912.0,175546.0,,2.0,2002.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1950000,45.678207,-111.00513,4.0,4.0,3344.0,553647.0,,4.0,2007.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3895000,45.80225,-110.882576,5.0,6.0,4497.0,880347.0,,3.0,2005.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2695000,45.76623,-111.11295,2.0,3.0,1708.0,963808.0,,3.0,2017.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
315000,45.67174,-111.06718,2.0,2.0,1043.0,,,0.0,2006.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
695000,45.663937,-111.137764,3.0,3.0,1803.0,7723.0,,2.0,2016.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
465000,45.71271,-111.08211,3.0,3.0,1419.0,,,2.0,2014.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
634900,45.6529,-111.19319,5.0,2.0,1508.0,39204.0,,0.0,1998.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1950000,45.568344,-111.12086,2.0,1.0,1912.0,175546.0,,3.0,1920.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1575000,45.631645,-111.02221,5.0,3.0,3084.0,89907.0,,2.0,1965.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
640000,45.70377,-111.0747,3.0,3.0,1908.0,3341.0,,2.0,2017.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1650000,45.716717,-111.195015,4.0,4.0,3274.0,98271.0,,3.0,2019.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23900000,45.583794,-111.1928,,,,12632400.0,,,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
625000,45.691914,-111.104355,3.0,3.0,1838.0,,,2.0,2025.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2695000,45.683193,-111.16152,3.0,4.0,4200.0,22651.0,,3.0,2025.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
730000,45.68287,-111.021736,2.0,2.0,1414.0,,,1.0,2006.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1175000,45.65222,-111.07628,3.0,3.0,2693.0,6817.0,,2.0,2025.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
84995,45.687435,-111.05732,3.0,1.0,968.0,,,0.0,2008.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
624900,45.676395,-111.078064,3.0,2.0,1427.0,10815.0,,2.0,1996.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
798000,45.64667,-111.05718,4.0,4.0,2262.0,3484.0,,2.0,2014.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1329000,45.69745,-111.08791,4.0,3.0,2851.0,14592.0,,3.0,2021.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
